feature,importance
G2,0.8655560763903556
G1,0.03491706839660378
absences,0.018629111982552328
Fedu,0.009398733806793921
Dalc,0.005932559901071023
failures,0.005808124479040757
Walc,0.0043211785270461335
health,0.0040298511906438
Fjob_other,0.0039022902041107163
Fjob_services,0.0037095399184282197
famrel,0.00365110124196079
age,0.003281643810545733
goout,0.003216411390213527
Mjob_other,0.0031925725521952937
studytime,0.0021641088718809417
traveltime,0.002069154555486611
Medu,0.002063001120603879
famsize_LE3,0.001405530771644671
freetime,0.0012928713252560358
schoolsup_no,0.0012656973800482538
schoolsup_yes,0.001177108947772561
famsize_GT3,0.0011210799535901431
activities_no,0.0011118709638011641
activities_yes,0.0010645407756362233
reason_course,0.0010419990676490724
paid_no,0.0010241319114697475
sex_M,0.0010193730221762214
internet_yes,0.0010073267346825691
paid_yes,0.0009477590889593504
internet_no,0.000912653774434678
romantic_no,0.0008617122661467662
reason_home,0.000842164757314435
address_R,0.0008305877933427185
address_U,0.0008122706257287671
guardian_mother,0.0007134386519929056
school_GP,0.0006147607962385472
sex_F,0.0005894541292844545
Mjob_at_home,0.0005806596385238878
famsup_yes,0.0005156622897666951
romantic_yes,0.0004898333564596738
school_MS,0.0004895524286535393
famsup_no,0.0004883740975684213
nursery_yes,0.0004212324989890789
nursery_no,0.00041088520197739905
guardian_father,0.00029456325475378276
higher_no,0.00022247422657307577
Mjob_services,0.00021790086309784817
Pstatus_A,0.00012211687020964782
reason_other,8.657385412206722e-05
Mjob_teacher,7.461643757914134e-05
higher_yes,3.125977311224958e-05
Fjob_at_home,2.9609260075371555e-05
reason_reputation,2.5824871835703934e-05
Pstatus_T,0.0
Fjob_teacher,0.0
Fjob_health,0.0
Mjob_health,0.0
guardian_other,0.0
