feature,mean_abs_shap
G2,0.2743025296153933
G1,0.025142399183663438
absences,0.008259312570665178
Fedu,0.006130671392738703
Dalc,0.0039290616982801604
Fjob_other,0.0035876547370261524
failures,0.0030194419984997016
Fjob_services,0.0020638728390836246
famrel,0.0018304699857856386
Mjob_other,0.0018116467673491767
goout,0.001663690557501499
health,0.001469526475934017
age,0.0013123420760547647
Walc,0.0012082383768111588
traveltime,0.0010827661313976954
activities_no,0.0008858375141139627
studytime,0.0008637854497358173
reason_home,0.000800275710152277
activities_yes,0.0007999536722815622
schoolsup_no,0.0007819603887810834
paid_no,0.0007642665994586433
Medu,0.0007611773213067618
schoolsup_yes,0.0007085900827536312
freetime,0.0006492764078539079
paid_yes,0.0006403590684718901
internet_no,0.0006288783871675743
famsize_GT3,0.0006183860520387701
internet_yes,0.0006024672960420958
famsize_LE3,0.0005106507162728715
address_U,0.0004821348789720315
guardian_mother,0.000383539582431933
school_MS,0.00036576682825833785
Mjob_at_home,0.00036360327476164735
guardian_father,0.0003532651299368035
nursery_no,0.00034764753693417483
nursery_yes,0.00033557549002852233
sex_M,0.0003298327275641471
romantic_no,0.0002960840212951874
address_R,0.0002944401724195622
sex_F,0.0002261157428138912
higher_no,0.00019582589386059194
school_GP,0.00019073557804014435
famsup_yes,0.00016798246393863743
reason_course,0.00015256085364719724
romantic_yes,0.00015063452894509218
Mjob_services,0.00013372709020042877
famsup_no,0.00010183207133594855
higher_yes,5.9692306414924924e-05
Fjob_at_home,5.937288177397408e-05
reason_other,5.606548555911297e-05
Pstatus_A,5.269100394010763e-05
reason_reputation,3.739048791056727e-05
Mjob_teacher,3.656334386211118e-05
Pstatus_T,0.0
Fjob_teacher,0.0
Fjob_health,0.0
Mjob_health,0.0
guardian_other,0.0
