,coefficient
G2,5.0374059454256725
G1,1.5876191580807384
reason_home,-0.4996124453062267
reason_reputation,0.49636101404620736
Fjob_health,-0.42005647181468847
Fedu,-0.3685022963103009
Mjob_services,0.34524147667987864
Mjob_health,-0.3432783975049555
Pstatus_A,0.3329387766586813
Pstatus_T,-0.3257069635503802
goout,-0.3008485164381531
traveltime,0.29743059718853393
Fjob_other,0.2742931583178102
school_GP,0.27186519412441557
age,0.27032244379086573
higher_yes,0.268934204644554
school_MS,-0.2646333810161124
Mjob_other,0.26420676791736364
Medu,0.26283811746199426
higher_no,-0.26170239153625346
